Date,Open,High,Low,Close,Adj Close,Volume
28-06-2010,3.8,6.084,3.508,3.84,3.84,246560000
05-07-2010,4,4,2.996,3.48,3.48,127753000
12-07-2010,3.59,4.3,3.38,4.128,4.128,77194500
19-07-2010,4.274,4.45,3.9,4.258,4.258,35878500
26-07-2010,4.3,4.3,3.91,3.988,3.988,15260000
02-08-2010,4.1,4.436,3.904,3.918,3.918,21998500
09-08-2010,3.98,3.996,3.478,3.664,3.664,21083000
16-08-2010,3.69,3.918,3.652,3.82,3.82,12050500
23-08-2010,3.818,4.078,3.712,3.94,3.94,15389500
30-08-2010,3.94,4.26,3.866,4.21,4.21,11752500
06-09-2010,4.122,4.21,3.952,4.034,4.034,6473000
13-09-2010,4.178,4.632,3.96,4.046,4.046,27915500
20-09-2010,4.134,4.31,3.9,4.02,4.02,19767000
27-09-2010,4.08,4.43,4.01,4.12,4.12,31979500
04-10-2010,4.086,4.256,4.06,4.086,4.086,8489000
11-10-2010,4.088,4.206,4.006,4.108,4.108,6564500
18-10-2010,4.104,4.19,4,4.144,4.144,6493500
25-10-2010,4.188,4.374,4.102,4.368,4.368,8203500
01-11-2010,4.388,5.066,4.21,4.888,4.888,20179500
08-11-2010,4.9,6.1,4.806,5.968,5.968,46004000
15-11-2010,6.044,6.588,5.684,6.198,6.198,34135500
22-11-2010,6.314,7.2,6.3,7.064,7.064,24415500
29-11-2010,7.082,7.284,6.174,6.298,6.298,39172500
06-12-2010,6.27,6.584,5.912,6.304,6.304,20405500
13-12-2010,6.328,6.354,5.552,6.272,6.272,22610500
20-12-2010,6.328,6.572,5.984,6.018,6.018,18435000
27-12-2010,5.604,5.716,5,5.326,5.326,100682000
03-01-2011,5.368,5.716,5.18,5.648,5.648,41131000
10-01-2011,5.634,5.742,5.122,5.15,5.15,29664500
17-01-2011,5.096,5.128,4.474,4.608,4.608,37450500
24-01-2011,4.706,5.016,4.646,4.802,4.802,29703000
31-01-2011,4.81,4.946,4.63,4.692,4.692,15818000
07-02-2011,4.652,5.05,4.558,4.65,4.65,42531000
14-02-2011,4.728,5.098,4.512,4.636,4.636,56705000
21-02-2011,4.576,4.77,4.222,4.722,4.722,30359000
28-02-2011,4.748,4.998,4.7,4.99,4.99,25206000
07-03-2011,4.986,5.08,4.706,4.814,4.814,31530500
